Category,Level,Iteration,Configuration,Good Proposals,Bad Proposals,Max Attempts
1_ball,00000,00,lower_density,5,5,123
1_ball,00000,00,higher_gravity,5,5,68
1_ball,00000,00,higher_density,5,5,102
1_ball,00000,00,higher_time_scale,5,5,100
1_ball,00000,00,higher_elasticity,5,5,700
1_ball,00000,00,lower_space_iterations,5,5,148
1_ball,00000,00,lower_time_scale,5,5,134
1_ball,00000,00,lower_friction,5,5,54
1_ball,00000,00,higher_friction,5,5,285
1_ball,00000,00,lower_gravity,5,5,66
1_ball,00000,00,higher_space_iterations,5,5,101
1_ball,00000,00,lower_elasticity,5,5,37
1_ball,00000,00,default,5,5,75
1_ball,00000,01,lower_density,5,5,1545
1_ball,00000,01,higher_gravity,5,5,706
1_ball,00000,01,higher_density,5,5,2244
1_ball,00000,01,higher_time_scale,5,5,1355
1_ball,00000,01,higher_elasticity,5,5,3731
1_ball,00000,01,lower_space_iterations,5,5,1269
1_ball,00000,01,lower_time_scale,5,5,865
1_ball,00000,01,lower_friction,5,5,838
1_ball,00000,01,higher_friction,5,5,1250
1_ball,00000,01,lower_gravity,5,5,2165
1_ball,00000,01,higher_space_iterations,5,5,1642
1_ball,00000,01,lower_elasticity,5,5,292
1_ball,00000,01,default,5,5,1882
1_ball,00000,02,lower_density,5,5,106
1_ball,00000,02,higher_gravity,5,5,251
1_ball,00000,02,higher_density,5,5,193
1_ball,00000,02,higher_time_scale,5,5,113
1_ball,00000,02,higher_elasticity,5,5,827
1_ball,00000,02,lower_space_iterations,5,5,133
1_ball,00000,02,lower_time_scale,5,5,205
1_ball,00000,02,lower_friction,5,5,44
1_ball,00000,02,higher_friction,5,5,89
1_ball,00000,02,lower_gravity,5,5,136
1_ball,00000,02,higher_space_iterations,5,5,71
1_ball,00000,02,lower_elasticity,5,5,31
1_ball,00000,02,default,5,5,283
1_ball,00000,03,lower_density,5,5,74
1_ball,00000,03,higher_gravity,5,5,49
1_ball,00000,03,higher_density,5,5,49
1_ball,00000,03,higher_time_scale,5,5,42
1_ball,00000,03,higher_elasticity,5,5,935
1_ball,00000,03,lower_space_iterations,5,5,37
1_ball,00000,03,lower_time_scale,5,5,47
1_ball,00000,03,lower_friction,5,5,45
1_ball,00000,03,higher_friction,5,5,26
1_ball,00000,03,lower_gravity,5,5,29
1_ball,00000,03,higher_space_iterations,5,5,27
1_ball,00000,03,lower_elasticity,5,5,16
1_ball,00000,03,default,5,5,47
1_ball,00000,04,lower_density,5,5,83
1_ball,00000,04,higher_gravity,5,5,47
1_ball,00000,04,higher_density,5,5,81
1_ball,00000,04,higher_time_scale,5,5,64
1_ball,00000,04,higher_elasticity,5,5,633
1_ball,00000,04,lower_space_iterations,5,5,33
1_ball,00000,04,lower_time_scale,5,5,55
1_ball,00000,04,lower_friction,5,5,29
1_ball,00000,04,higher_friction,5,5,362
1_ball,00000,04,lower_gravity,5,5,58
1_ball,00000,04,higher_space_iterations,5,5,69
1_ball,00000,04,lower_elasticity,5,5,40
1_ball,00000,04,default,5,5,54
1_ball,00001,00,lower_density,5,5,41
1_ball,00001,00,higher_gravity,5,5,47
1_ball,00001,00,higher_density,5,5,43
1_ball,00001,00,higher_time_scale,5,5,64
1_ball,00001,00,higher_elasticity,5,5,53
1_ball,00001,00,lower_space_iterations,5,5,80
1_ball,00001,00,lower_time_scale,5,5,43
1_ball,00001,00,lower_friction,5,5,242
1_ball,00001,00,higher_friction,5,5,31
1_ball,00001,00,lower_gravity,5,5,91
